Driver,Lap Number,Lap Time,Position,Time,Sector 1,Sector 2,Sector 3
VER,1.0,0 days 00:01:23.696000,2.0,0 days 01:00:37.344000,,0 days 00:00:32.318000,0 days 00:00:24.013000
VER,2.0,0 days 00:01:20.083000,2.0,0 days 01:01:57.427000,0 days 00:00:24.125000,0 days 00:00:32.278000,0 days 00:00:23.680000
VER,3.0,0 days 00:01:20.537000,2.0,0 days 01:03:17.964000,0 days 00:00:23.816000,0 days 00:00:32.561000,0 days 00:00:24.160000
VER,4.0,0 days 00:01:21.032000,2.0,0 days 01:04:38.996000,0 days 00:00:24.299000,0 days 00:00:32.612000,0 days 00:00:24.121000
VER,5.0,0 days 00:01:20.964000,2.0,0 days 01:05:59.960000,0 days 00:00:24.223000,0 days 00:00:32.561000,0 days 00:00:24.180000
VER,6.0,0 days 00:01:20.822000,2.0,0 days 01:07:20.782000,0 days 00:00:23.966000,0 days 00:00:32.687000,0 days 00:00:24.169000
VER,7.0,0 days 00:01:20.760000,2.0,0 days 01:08:41.542000,0 days 00:00:23.968000,0 days 00:00:32.520000,0 days 00:00:24.272000
VER,8.0,0 days 00:01:21.019000,2.0,0 days 01:10:02.561000,0 days 00:00:24.105000,0 days 00:00:32.719000,0 days 00:00:24.195000
VER,9.0,0 days 00:01:21.168000,2.0,0 days 01:11:23.729000,0 days 00:00:24.033000,0 days 00:00:32.833000,0 days 00:00:24.302000
VER,10.0,0 days 00:01:21.163000,2.0,0 days 01:12:44.892000,0 days 00:00:24.018000,0 days 00:00:32.814000,0 days 00:00:24.331000
VER,11.0,0 days 00:01:21.143000,2.0,0 days 01:14:06.035000,0 days 00:00:23.996000,0 days 00:00:32.812000,0 days 00:00:24.335000
VER,12.0,0 days 00:01:21.623000,2.0,0 days 01:15:27.658000,0 days 00:00:24.142000,0 days 00:00:33.037000,0 days 00:00:24.444000
VER,13.0,0 days 00:01:26.030000,3.0,0 days 01:16:53.688000,0 days 00:00:24.522000,0 days 00:00:33.331000,0 days 00:00:28.177000
VER,14.0,0 days 00:01:37.200000,8.0,0 days 01:18:30.888000,0 days 00:00:41.850000,0 days 00:00:31.809000,0 days 00:00:23.541000
VER,15.0,0 days 00:01:19.630000,7.0,0 days 01:19:50.518000,0 days 00:00:23.564000,0 days 00:00:32.246000,0 days 00:00:23.820000
VER,16.0,0 days 00:01:19.450000,7.0,0 days 01:21:09.968000,0 days 00:00:23.702000,0 days 00:00:31.920000,0 days 00:00:23.828000
VER,17.0,0 days 00:01:20.011000,5.0,0 days 01:22:29.979000,0 days 00:00:23.623000,0 days 00:00:32.227000,0 days 00:00:24.161000
VER,18.0,0 days 00:01:19.786000,4.0,0 days 01:23:49.765000,0 days 00:00:23.658000,0 days 00:00:32.131000,0 days 00:00:23.997000
VER,19.0,0 days 00:01:20.259000,3.0,0 days 01:25:10.024000,0 days 00:00:23.733000,0 days 00:00:32.647000,0 days 00:00:23.879000
VER,20.0,0 days 00:01:19.840000,3.0,0 days 01:26:29.864000,0 days 00:00:23.560000,0 days 00:00:32.303000,0 days 00:00:23.977000
VER,21.0,0 days 00:01:19.911000,3.0,0 days 01:27:49.775000,0 days 00:00:23.686000,0 days 00:00:32.317000,0 days 00:00:23.908000
VER,22.0,0 days 00:01:19.640000,2.0,0 days 01:29:09.415000,0 days 00:00:23.583000,0 days 00:00:32.204000,0 days 00:00:23.853000
VER,23.0,0 days 00:01:20.183000,1.0,0 days 01:30:29.598000,0 days 00:00:23.662000,0 days 00:00:32.527000,0 days 00:00:23.994000
VER,24.0,0 days 00:01:19.958000,1.0,0 days 01:31:49.556000,0 days 00:00:23.600000,0 days 00:00:32.267000,0 days 00:00:24.091000
VER,25.0,0 days 00:01:20.124000,1.0,0 days 01:33:09.680000,0 days 00:00:23.706000,0 days 00:00:32.425000,0 days 00:00:23.993000
VER,26.0,0 days 00:01:20.382000,1.0,0 days 01:34:30.062000,0 days 00:00:23.786000,0 days 00:00:32.502000,0 days 00:00:24.094000
VER,27.0,0 days 00:01:20.672000,1.0,0 days 01:35:50.734000,0 days 00:00:23.762000,0 days 00:00:32.696000,0 days 00:00:24.214000
VER,28.0,0 days 00:01:20.580000,1.0,0 days 01:37:11.314000,0 days 00:00:23.740000,0 days 00:00:32.564000,0 days 00:00:24.276000
VER,29.0,0 days 00:01:24.509000,2.0,0 days 01:38:35.823000,0 days 00:00:23.843000,0 days 00:00:32.715000,0 days 00:00:27.951000
VER,30.0,0 days 00:01:36.279000,4.0,0 days 01:40:12.102000,0 days 00:00:41.636000,0 days 00:00:31.283000,0 days 00:00:23.360000
VER,31.0,0 days 00:01:18.216000,4.0,0 days 01:41:30.318000,0 days 00:00:23.225000,0 days 00:00:31.434000,0 days 00:00:23.557000
VER,32.0,0 days 00:01:18.455000,4.0,0 days 01:42:48.773000,0 days 00:00:23.331000,0 days 00:00:31.558000,0 days 00:00:23.566000
